,cuisine_id,restaurant.R.res_id,restaurant.name,restaurant.location.address,restaurant.url,restaurant.location.locality,restaurant.location.city,restaurant.location.latitude,restaurant.location.longitude,restaurant.location.zipcode,restaurant.cuisines,restaurant.average_cost_for_two,restaurant.user_rating.aggregate_rating,restaurant.user_rating.votes,restaurant.featured_image,restaurant.establishment
0,1035,16582254,Afghan Rahimi Restaurant,"23-29 Walker Street,   Dandenong, Dandenong, Melbourne",https://www.zomato.com/melbourne/afghan-rahimi-restaurant-dandenong?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,Dandenong,Melbourne,-37.9882064699,145.2118171379,3175,"Middle Eastern, Afghan",80,4.6,449,https://b.zmtcdn.com/data/res_imagery/16582254_RESTAURANT_d8e512c7aa1f8c552777d56d05615d48.jpg,['Casual Dining']
1,1035,16572889,Persian Flavours Takeaway & Eat In,"338 Springvale Road, Forest Hill & Vermont, Melbourne",https://www.zomato.com/melbourne/persian-flavours-takeaway-eat-in-forest-hill-vermont?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,Forest Hill & Vermont,Melbourne,-37.8342873124,145.1726176590,3131,"Middle Eastern, Iranian, Afghan",55,4.3,420,https://b.zmtcdn.com/data/res_imagery/16572889_RESTAURANT_4a617c1e9b3966581d96c1e2117492cf.jpg,['Casual Dining']
2,1035,16570696,Afghan Gallery,"327 Brunswick Street, Fitzroy, Melbourne",https://www.zomato.com/melbourne/afghan-gallery-fitzroy?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,Fitzroy,Melbourne,-37.7973987453,144.9785752595,3065,"Middle Eastern, Afghan",60,4.3,365,https://b.zmtcdn.com/data/reviews_photos/ea4/fbc88c15bb2941fdbf353cc70bc6fea4_1529779282.jpg,['Casual Dining']
3,1035,16578363,Golistan Restaurant,"768 Station Street, Box Hill, Melbourne",https://www.zomato.com/melbourne/golistan-restaurant-box-hill?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,Box Hill,Melbourne,-37.8134792714,145.1249152422,3129,"Middle Eastern, Afghan",30,4.3,234,https://b.zmtcdn.com/data/res_imagery/16578363_RESTAURANT_73d5b8be3f065cbce82ff32033743af1_c.jpg,['Fast Food']
4,1035,16570698,Afghan Village,"923 Burke Road, Camberwell, Melbourne",https://www.zomato.com/melbourne/afghan-village-camberwell?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,Camberwell,Melbourne,-37.8257057988,145.0577161834,3124,Afghan,80,4.3,297,https://b.zmtcdn.com/data/pictures/chains/8/16570698/ed040e08c70c5c5cec7428f25c726dfe.jpg,['Casual Dining']
5,1035,16576742,Afghan Salang Restaurant,"343 Lonsdale Street, Dandenong, Melbourne",https://www.zomato.com/melbourne/afghan-salang-restaurant-dandenong?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,Dandenong,Melbourne,-37.9855148344,145.2137972787,3175,"Middle Eastern, Afghan",70,4.3,294,https://b.zmtcdn.com/data/res_imagery/16576742_RESTAURANT_2e17df37048ef0a03c5d06775f77c6bf_c.jpg,['Casual Dining']
6,1035,16583350,Ashy's Cafe and Restaurant,"Shop 3/305 High Street, Ashburton, Melbourne",https://www.zomato.com/melbourne/ashys-cafe-and-restaurant-ashburton?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,Ashburton,Melbourne,-37.8636543468,145.0824176520,3147,Afghan,55,4.2,154,https://b.zmtcdn.com/data/res_imagery/16583350_CHAIN_bd0adf6067df7893224a40d5e45b57f3.jpg,['Casual Dining']
7,1035,16574773,Pamir Restaurant,"195 Lonsdale Street, Dandenong, Melbourne",https://www.zomato.com/melbourne/pamir-restaurant-dandenong?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,Dandenong,Melbourne,-37.9892444117,145.2141724527,3175,Afghan,80,4.2,139,https://b.zmtcdn.com/data/res_imagery/16574773_RESTAURANT_654d8fa754984337954630a09d35095b.jpg,['Casual Dining']
8,1035,16582817,Afghan Master Kebab,"Shop 3, 20 Devonshire Road, Sunshine, Melbourne",https://www.zomato.com/melbourne/afghan-master-kebab-sunshine?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,Sunshine,Melbourne,-37.7850329236,144.8328427970,3020,"Kebab, Afghan",40,4.1,116,https://b.zmtcdn.com/data/res_imagery/16582817_RESTAURANT_f2f84ab03782d4f67424644aed7f8671.jpg,['Fast Food']
9,1035,16570697,Rezah Afghan Kebab,"595 Sydney Road, Brunswick, Melbourne",https://www.zomato.com/melbourne/rezah-afghan-kebab-brunswick?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,Brunswick,Melbourne,-37.7632091115,144.9627120048,3056,"Kebab, Afghan",50,4.1,134,https://b.zmtcdn.com/data/pictures/chains/7/16570697/2df17620f919fc362f92aa8346f44934.png,['Casual Dining']
